NASDAQ,Close
16:07 - 16:08 01/03/2020,8798.33
16:08 - 16:09 01/03/2020,8798.32
16:09 - 16:10 01/03/2020,8803.47
16:10 - 16:11 01/03/2020,8803.54
16:11 - 16:12 01/03/2020,8802.58
16:12 - 16:13 01/03/2020,8807.13
16:13 - 16:14 01/03/2020,8805.33
16:14 - 16:15 01/03/2020,8809.25
16:15 - 16:16 01/03/2020,8813.32
16:16 - 16:17 01/03/2020,8816.88
16:17 - 16:18 01/03/2020,8814.34
16:18 - 16:19 01/03/2020,8813.52
16:19 - 16:20 01/03/2020,8805.57
16:20 - 16:21 01/03/2020,8801.9
16:21 - 16:22 01/03/2020,8802.15
16:22 - 16:23 01/03/2020,8800.72
16:23 - 16:24 01/03/2020,8805.56
16:24 - 16:25 01/03/2020,8807.85
16:25 - 16:26 01/03/2020,8807.84
16:26 - 16:27 01/03/2020,8808.95
16:27 - 16:28 01/03/2020,8810.92
16:28 - 16:29 01/03/2020,8812.56
16:29 - 16:30 01/03/2020,8813.28
16:30 - 16:31 01/03/2020,8814.6
16:31 - 16:32 01/03/2020,8810.59
16:32 - 16:33 01/03/2020,8811.55
16:33 - 16:34 01/03/2020,8813.9
16:34 - 16:35 01/03/2020,8814.25
16:35 - 16:36 01/03/2020,8813.63
16:36 - 16:37 01/03/2020,8813.01
16:37 - 16:38 01/03/2020,8809.93
16:38 - 16:39 01/03/2020,8810.12
16:39 - 16:40 01/03/2020,8809.87
16:40 - 16:41 01/03/2020,8812.64
16:41 - 16:42 01/03/2020,8812.5
16:42 - 16:43 01/03/2020,8818.54
16:43 - 16:44 01/03/2020,8818.15
16:44 - 16:45 01/03/2020,8818.1
16:45 - 16:46 01/03/2020,8820.57
16:46 - 16:47 01/03/2020,8818.46
16:47 - 16:48 01/03/2020,8817.84
16:48 - 16:49 01/03/2020,8816.92
16:49 - 16:50 01/03/2020,8814.01
16:50 - 16:51 01/03/2020,8807.75
16:51 - 16:52 01/03/2020,8803.83
16:52 - 16:53 01/03/2020,8803.11
16:53 - 16:54 01/03/2020,8804.9
16:54 - 16:55 01/03/2020,8804.04
16:55 - 16:56 01/03/2020,8803.25
16:56 - 16:57 01/03/2020,8803.62
16:57 - 16:58 01/03/2020,8806.04
16:58 - 16:59 01/03/2020,8803.31
16:59 - 17:00 01/03/2020,8802.64
17:00 - 17:01 01/03/2020,8800.06
17:01 - 17:02 01/03/2020,8800.5
17:02 - 17:03 01/03/2020,8799.92
17:03 - 17:04 01/03/2020,8796.81
17:04 - 17:05 01/03/2020,8796.1
17:05 - 17:06 01/03/2020,8795.51
17:06 - 17:07 01/03/2020,8799.39
17:07 - 17:08 01/03/2020,8795.88
17:08 - 17:09 01/03/2020,8796.62
17:09 - 17:10 01/03/2020,8794.56
17:10 - 17:11 01/03/2020,8791.82
17:11 - 17:12 01/03/2020,8792.64
17:12 - 17:13 01/03/2020,8797.09
17:13 - 17:14 01/03/2020,8800.85
17:14 - 17:15 01/03/2020,8800.39
17:15 - 17:16 01/03/2020,8799.07
17:16 - 17:17 01/03/2020,8801.54
17:17 - 17:18 01/03/2020,8801.79
17:18 - 17:19 01/03/2020,8801.9
17:19 - 17:20 01/03/2020,8801.31
17:20 - 17:21 01/03/2020,8803.01
17:21 - 17:22 01/03/2020,8806.48
17:22 - 17:23 01/03/2020,8807.04
17:23 - 17:24 01/03/2020,8807.41
17:24 - 17:25 01/03/2020,8806.27
17:25 - 17:26 01/03/2020,8807.33
17:26 - 17:27 01/03/2020,8806.53
17:27 - 17:28 01/03/2020,8803.85
17:28 - 17:29 01/03/2020,8804.23
17:29 - 17:30 01/03/2020,8804.62
17:30 - 17:31 01/03/2020,8806.76
17:31 - 17:32 01/03/2020,8806.23
17:32 - 17:33 01/03/2020,8807.17
17:33 - 17:34 01/03/2020,8807.03
17:34 - 17:35 01/03/2020,8810.15
17:35 - 17:36 01/03/2020,8809.47
17:36 - 17:37 01/03/2020,8810.61
17:37 - 17:38 01/03/2020,8810.39
17:38 - 17:39 01/03/2020,8811.7
17:39 - 17:40 01/03/2020,8812.16
17:40 - 17:41 01/03/2020,8812.13
17:41 - 17:42 01/03/2020,8813.5
17:42 - 17:43 01/03/2020,8812.44
17:43 - 17:44 01/03/2020,8812.04
17:44 - 17:45 01/03/2020,8813.64
17:45 - 17:46 01/03/2020,8814.62
17:46 - 17:47 01/03/2020,8814.97
17:47 - 17:48 01/03/2020,8816.22
17:48 - 17:49 01/03/2020,8816.27
17:49 - 17:50 01/03/2020,8815.53
17:50 - 17:51 01/03/2020,8815.41
17:51 - 17:52 01/03/2020,8815.59
17:52 - 17:53 01/03/2020,8816.31
17:53 - 17:54 01/03/2020,8818.59
17:54 - 17:55 01/03/2020,8819.95
17:55 - 17:56 01/03/2020,8821
17:56 - 17:57 01/03/2020,8818.48
17:57 - 17:58 01/03/2020,8818.59
17:58 - 17:59 01/03/2020,8818.28
17:59 - 18:00 01/03/2020,8818.91
18:00 - 18:01 01/03/2020,8821.23
18:01 - 18:02 01/03/2020,8825.15
18:02 - 18:03 01/03/2020,8826.78
18:03 - 18:04 01/03/2020,8826.83
18:04 - 18:05 01/03/2020,8830.04
18:05 - 18:06 01/03/2020,8832.74
18:06 - 18:07 01/03/2020,8835.58
18:07 - 18:08 01/03/2020,8830.84
18:08 - 18:09 01/03/2020,8831.28
18:09 - 18:10 01/03/2020,8832.03
18:10 - 18:11 01/03/2020,8833.22
18:11 - 18:12 01/03/2020,8832.46
18:12 - 18:13 01/03/2020,8830.22
18:13 - 18:14 01/03/2020,8828.43
18:14 - 18:15 01/03/2020,8827.09
18:15 - 18:16 01/03/2020,8828.44
18:16 - 18:17 01/03/2020,8829.34
18:17 - 18:18 01/03/2020,8830.02
18:18 - 18:19 01/03/2020,8829.86
18:19 - 18:20 01/03/2020,8830.02
18:20 - 18:21 01/03/2020,8829.04
18:21 - 18:22 01/03/2020,8829.13
18:22 - 18:23 01/03/2020,8828.72
18:23 - 18:24 01/03/2020,8828.26
18:24 - 18:25 01/03/2020,8830.56
18:25 - 18:26 01/03/2020,8831.12
18:26 - 18:27 01/03/2020,8831.08
18:27 - 18:28 01/03/2020,8831.8
18:28 - 18:29 01/03/2020,8831.81
18:29 - 18:30 01/03/2020,8830.23
18:30 - 18:31 01/03/2020,8828.94
18:31 - 18:32 01/03/2020,8830.04
18:32 - 18:33 01/03/2020,8830.78
18:33 - 18:34 01/03/2020,8834.25
18:34 - 18:35 01/03/2020,8833.29
18:35 - 18:36 01/03/2020,8834.49
18:36 - 18:37 01/03/2020,8834.17
18:37 - 18:38 01/03/2020,8834.33
18:38 - 18:39 01/03/2020,8834.87
18:39 - 18:40 01/03/2020,8836.13
18:40 - 18:41 01/03/2020,8837.84
18:41 - 18:42 01/03/2020,8838.74
18:42 - 18:43 01/03/2020,8838.15
18:43 - 18:44 01/03/2020,8835.89
18:44 - 18:45 01/03/2020,8838.16
18:45 - 18:46 01/03/2020,8838.61
18:46 - 18:47 01/03/2020,8839.86
18:47 - 18:48 01/03/2020,8839.69
18:48 - 18:49 01/03/2020,8839.96
